text	label	prediction
…比较失望。	负面	负面
看个热闹就得了  穿帮镜头太多了	正面	正面
今天我妈的姐姐去星星上陪姥姥了	正面	正面
剧情全程喜感欢快，贼喜欢	正面	正面
感觉挺好看的	正面	正面
幽默中透露人性，很感人	正面	正面
好👌🏻，	正面	正面
电影还可以呦	正面	正面
搞笑又感动，挺好看	正面	正面
好看，，喜欢	正面	正面
演技在线 画质清晰	正面	正面
不错不错我挺喜欢	正面	正面
期待过高，令人失望	负面	负面
特别喜欢 好看	正面	正面
很好 挺感人的	正面	正面
可以嘞，值得推荐啦	正面	正面
开心麻花永远不会失望！喜欢沈马组合，马丽好美在电梯那里和沈腾擦肩而过的镜头太惊艳了，喜欢那个可爱的大袋鼠，整部电影的插曲也都很好听太好听了！	正面	正面
挺好看的，值得	正面	正面
搞笑又有意义	正面	正面
沈腾马丽的电影必看！8分给电影2分给沈腾马丽	正面	正面
还好，很不错	正面	正面
不是喜剧嘛 结尾把我看哭了啊 🌟 推荐  😭 哭点  😂 笑点  🎉闪光点	正面	正面
挺搞笑的 挺感人的	正面	正面
太好看了 笑着笑着就哭了 沈腾演技一流	正面	正面
棒棒哒棒棒哒	正面	正面
剧情紧凑，整体不错	正面	正面
还不错，加油加油加油	正面	正面
还可以吧应该是	正面	正面
很好非常好很好	正面	正面
剧情很扯，但是有笑点，有感动。笑点是沈腾，就算没包袱，也是看他就想笑，哈哈！结局有点意料之外吧，总之，值得一看！	正面	正面
好看，一如既往的精彩	正面	正面
非常好太棒了	正面	正面
元素很丰富，有搞笑，有温情，有真情，有振奋，有悲情，有大爱，有明悟。整个电影看下来，主题简单明了，故事情节出乎意料，环环相扣，不断吸引调动情绪。黄色的太空服为电影色彩增添很多亮色，金刚鼠的出场帮助了喜剧笑点，科幻和温情因子的传达，场景画面效果也非常到位流畅自然。演员演技在线，特别是马丽沈腾，完美展示了人物特性。最后的结局，不圆满但是升华，好似人生，繁华峥嵘皆如烟，笑笑闹闹一场空，放下又好像放不下。遗憾是独孤月和马蓝星没有过一个拥抱，每颗星辰都是曾经，每处风沙都是回忆，茫然若失。我个人觉得比流浪地球好看，现在好看的喜剧电影不多，我还是挺喜欢开心麻花的出品。	正面	正面
一部要带着纸巾去看的喜剧，太好看了！	正面	正面
特效很震撼，搞笑也不少，从笑到肚子疼到热泪盈眶。我印象最深的就是黄子韬摘假发那段，不得不对演员的敬业而感动。	正面	正面
完美，太逗了	正面	正面
为了沈马组合去的，他们俩的默契无人能敌	正面	正面
不错不错，继续支持	正面	正面
好，不错不错。	正面	正面
🌟 推荐。	正面	正面
还可以，没有很惊艳。	正面	正面
剧情不错，前面挺搞笑的，就是最后看哭了	正面	正面
真的不好看，要啥啥没有。	负面	负面
看的还不错喜欢这部电影	正面	正面
完全不好笑啊，特效也经不起大银幕	负面	负面
很赞，不错👍	正面	正面
好看的，很感动！	正面	正面
很有创意，很赞	正面	正面
好看，但是又不是完全好看！感情线就那么的莫名其妙！有几处笑点有点强行出戏，最后的结尾有种说不出的感觉！情理之中，意料之中！一切就是那么的合理！最后强行煽情，我也完全没有感动！就是有点太刻意了！总体不过不失吧！最后总结，舔go bu 得house😂	正面	正面
剧情紧凑，笑点密集，好看	正面	正面
特别好，特别不错	正面	正面
还凑合，还凑合	正面	正面
还好看，值得看	正面	正面
有开心有感动，还不错👍🏻	正面	正面
谁不去看我都会伤心的Ok？ 好看好看好看！！	正面	正面
真的不错，推荐	正面	正面
“马蓝星 带我回家” 我可以永远相信马丽和沈腾演绎的故事呜呜呜	正面	正面
有趣，挺好看，又挺感动	正面	正面
一直想去看的，终于如愿以偿	正面	正面
开心麻花电影好看	正面	正面
特别棒，搞笑、感动、有意义，沈腾马丽果然从来不会让人失望	正面	正面
跟老婆看电影好开心啊哈哈	正面	正面
笑点尬，特效足，中规中矩	正面	负面
笑点泪点都不错，电影就是娱乐，玩呗，挺好的！	正面	正面
强行催泪了，是忘记在拍喜剧了吗？写死男主角	负面	负面
非常好的一部电影，7年再度合作，非常好看，有笑点有泪点！！！强烈推荐！！！！	正面	正面
为什么票房这么高，看了感觉很差劲	负面	负面
剧情不错，有笑点！	正面	正面
不错不错，很好。	正面	正面
挺好的，我很喜欢。	正面	正面
好看   有泪点	正面	正面
还可以，孩子挺喜欢	正面	正面
剧情说实话比较老套，但是由于是沈腾演的，忽略剧情当成搞笑剧看还是不错的。也是因为沈腾，半年没有走进影院的我，为了他特意去看。	正面	正面
很喜欢💕哈哈哈哈	正面	正面
作为喜剧片，没有特别好笑。作为其他类型的片子，完全不合格。但是特效什么的制作还是用了心的。	负面	正面
笑中带泪 剧情流畅 还不错	正面	正面
不伦不类，6分给特效和沈腾的演技，电影中间有些部分，有一种别样的浪漫，为了这部分我都想加个3分，考虑到整体一般，而且瞎打分数的太多了，7分吧，也就是沈腾和他演技上的超常发挥，这电影才值这个分数，换个主演就废了。值得一看。	正面	正面
挺好看，基本没尿点	正面	正面
剧情很搞笑，主角有强烈的责任感，整体氛围轻松	正面	正面
啊…有意思…真有意思….	正面	正面
三次厕所，一觉，前面值得看，后面太拖拽导致没兴趣了	负面	正面
准备看，看了预告有点火星救援的感觉	负面	正面
非常好看，有笑也有泪	正面	正面
看完了确实有点尬，没有太多的内涵和情节在里面，笑点都是一些开心麻花的包袱	负面	负面
好看，画质清晰	正面	正面
很搞笑，典型的开心麻花式电影	正面	正面
画面感很强！	正面	正面
棒👍🏻棒	正面	正面
挺好的，感染力和爆笑点都很强，真的值得观看，沈腾没让我失望过。真的我看到沈腾就仿佛看我自己，因为我跟他张的特别像 也许是失散多年的兄弟，哈哈，但是我是90后，沈腾是老前辈了。真的玛丽跟沈腾超出爱情感觉，那种爱真的是绝了，都是高级作品，突破2500个亿不是问题。	正面	正面
七夕和宝宝来看的   很不错	正面	正面
不错挺好看值得一看	正面	正面
看到独孤月的身影，真的和复联一钢铁侠抱着核弹冲向虫洞的身影重合了，真的好像，都是义无反顾，都是英雄；而且腾哥留着胡子和小罗伯特唐尼神似，俩人身影重合了。	正面	正面
画面很好，演技不错	正面	正面
电影真不错，好看	正面	正面
沈腾玛丽的喜剧片很喜欢看	正面	正面
沈腾的电影从来没让人失望过。	正面	正面
看了要打磕睡的电影你说好看吗？	负面	负面
好看，很多笑点，也很感动	正面	正面
波澜壮阔，好浪漫啊！地球是唯一的母亲，宇宙浩瀚，人类渺小，然精神伟大！	正面	正面
值个七分吧。。	正面	正面
yyds好看	正面	正面
挺好看的，剧情也不错，有笑点也有泪点	正面	正面
一般 为了搞笑而搞笑	正面	负面
作为观众，墙裂推荐，很不错。  票房二十亿起步。  有笑有泪还不尬，大场面处理的也很不错，还要求什么呢？  适合所有八到八十岁的宝宝。	正面	正面
好看，强推，搞笑中带着些浪漫	正面	正面
🌟 推荐 特别棒	正面	正面
离谱就 手电筒能在月球看到	负面	负面
绝对的好看，能把人笑死	正面	正面
从头就在笑，中间也有感人的地方 月球表面，陨石等都做的非常有质感，非常震撼 沈叔叔演的很细腻 好看！	正面	正面
值得一看！你！	正面	正面
环境非常不错，服务也很周到，还会有专业的指导🐂🍺	正面	正面
电影很好看，剧情很好，很感人～	正面	正面
结局我以为会有反转的，但是事实证明我想多了，马丽  沈腾爱你们	正面	正面
挺好看，带孩子去看的	正面	正面
好看好看。含腾百分之百	正面	正面
有笑点有泪点，推荐观看！	正面	正面
浩瀚宇宙我们不会永远一个人。。。 果然，沈叔叔的电影从来不会让我失望❤️	正面	正面
太搞笑了，全程都在笑	正面	正面
笑中带泪，很令人感动	正面	正面
确实笑点比较高	正面	正面
没有什么可以形容，一个字棒棒哒	正面	正面
感觉很不错啊 虽然套路还是套路 但是确实还不错	正面	正面
成功的喜剧往往都是以悲剧结尾。充满遗憾。宛如人生。	正面	正面
我的评论是不如人生大事	正面	正面
含腾量是高的，喜剧片至少让我笑得很开心，体验感还是很好的	正面	正面
宇宙这么大，我们会遇见。	正面	正面
太好看了，演技都很好，超级感人	正面	正面
可以。很好。	正面	正面
麻花的作品越来越棒了	正面	正面
特别好真的特别好 这部电影真的让我看的又哭又笑 沈腾马丽yyds！！！	正面	正面
有意义，没意思，笑点没那么多！全场就一人笑的要起飞了！影响观影心情！个人观点！勿喷！	正面	负面
感觉电影很好看，挺多搞笑的地方，而且结局挺出乎意料的	正面	正面
Be喜剧，开心麻花制作很不错	正面	正面
好看……，b	正面	正面
很好看！真的很好看！又好笑又感动！哭的不行了，沈腾马丽真的yyds ！最后coco 唱的主题曲也超好听！	正面	正面
超级好看啊，前面很搞笑，但后面很催泪	正面	正面
喜剧的背后是悲剧	正面	正面
结尾不圆满！	正面	正面
剧情精彩！	正面	正面
含腾量极高，一个字～爽！	正面	正面
产品很好，会回购，每次都这么让人满意，赞赞赞！	正面	正面
真的非常非常好看，含腾量100%，搞笑又感人，真的值得一看。	正面	正面
剧情一般，演技好，冲着沈腾马丽买的票	正面	正面
#独行月球 是人类勇气和希望的赞歌 ​“Country road takes me home” ​所有突破大气层带起火光的陨石都是我，​所有以第一宇宙速度发射的飞行器都陪伴我。	正面	正面
非常好，含腾量百分百	正面	正面
有笑点有泪点，特别不错的电影，沈腾一出场就忍不住想笑。金刚鼠真是没想到，刚子勇猛！马丽沈腾在这里看起来好年轻呀！	正面	正面
好笑有感人太棒了	正面	正面
挺逗的，太有意思了	正面	正面
还不错了，反正笑点挺多	正面	正面
剧情好的很。	正面	正面
很好看啊，我感觉不错	正面	正面
说实话有点失望，但我女儿喜欢也算值了	负面	正面
超级喜欢沈腾马丽，剧情好喜欢	正面	正面
我觉得还行，挺搞笑的。	负面	正面
电影很搞笑，影院环境也不错	正面	正面
结局不怎么好	正面	正面
是真的很一般	负面	负面
剧情略微老套，远不够硬科幻，但是喜剧科幻也不失为一种新的方式，悲尾略有些失落。我设想彩蛋里金刚鼠雕像旁站着独孤月	正面	正面
剧情不错，发挥了，该发挥的，一如既往的好支持	正面	正面
半喜半忧，沈马组合很不错	正面	正面
暑期绝对不能错过的喜剧片！！！开心麻花yyds！！！	正面	正面
好看啊真的。	正面	正面
一家三口去看的，电影内容很让人感动，哭了好几次。	正面	正面
不错，挺精彩的！让人又笑又哭。	正面	正面
陪孩子子去看的，是孩子喜欢的类型。	正面	正面
挺不错的，，，	正面	正面
可以的，半搞笑半科幻	正面	正面
6分 一般 沈腾的表演很好，但是剧情真的挺无聊。大多数的笑点都是砍flag，或者文字游戏。笑点比较低级。	负面	负面
好看，拍的不错	正面	正面
真的好无聊 睡觉了 不知道好评怎么来的 不知道演了些什么 没有笑点	负面	负面
还不错，好笑还有感动的片段	正面	正面
剧情一般，演技浮夸，开心麻花的水准越来越低了。不值得推荐	负面	负面
好看，笑点较多	正面	正面
前面很好看 就是结尾煽情 导演怎么能给他xisheng了 我还是喜欢搞笑剧情	正面	正面
非常好看，还是特别喜欢刚子	正面	正面
剧情搞笑很有沈氏幽默	正面	正面
不戳haokan	正面	正面
很好看，商家服务态度也很好。	正面	正面
好看，有泪点有细节	正面	正面
很好故事很感人	正面	正面
很好看，最后一点很感人…	正面	正面
棒棒棒，只能说开心麻花又要火了火了火！陈腾演技没的说	正面	正面
剧情类似 看到开头猜到结尾 特效还行 泪点有点 前期笑点也很多	正面	正面
还可以 一贯的麻花风	正面	正面
之前挺喜欢看沈腾的电影这次有点尬笑	负面	负面
我也比较喜欢开心麻花，观影比较客观，对于其他人来说可能好看，但这一次我感觉确实没有什么笑点，比较幼稚吧没有吸引我的地方	负面	负面
真的不好看，整了一个很大的主题，回家，弄了一个很高级的外壳，外星科技，再一次讲一个小人物大英雄故事，根本立不住	负面	负面
挺搞笑的，但是也很反应当下，中间人	正面	正面
一般般而已。。	负面	负面
好看，强力推荐	正面	正面
永远相信沈马组合，全新的场景和特效真的是很用心。沈叔叔依然还是那么搞笑。有笑有哭整个影片非常好。祝愿独行月球票房大卖。支持支持	正面	正面
好看，剧情紧凑 搞笑点很多 希望有下一部	正面	正面
跟朋友一起去看的，很好看	正面	正面
结尾不喜欢 看完感觉有点小抑郁	正面	正面
不错，值得再刷	正面	正面
还行，中国式🌹	正面	正面
有笑有泪有苦有甜才是生活	正面	正面
笑点低，不咋的	负面	负面
说实话是高质量的，看之前别看影评，影响观感	正面	正面
不错不错很值得推荐	正面	正面
一般…………	正面	负面
袋鼠主演位拿捏了	正面	正面
剧情很一般……	负面	负面
好看科幻大片	正面	正面
就是一句好看	正面	正面
好看好看的电影	正面	正面
好牵强的笑点。	正面	负面
剧情想象丰富异想天开天马行空好看真挚感人至深充实	正面	正面
不摆了，非常成功！	正面	正面
好，神马组合	正面	正面
好老高包好看考六级	正面	正面
不好看没意思就几段搞笑的然后就没了	负面	负面
含腾量极高，幽默不失哲理	正面	正面
哪个黑子说含腾量10-20%的？？？明明百分百！	负面	正面
在灾难面前我们都是蝼蚁，希望不要放弃	正面	正面
幽默，感人！	正面	正面
很好看，希望出下一部，很好的喜剧片	正面	正面
地球太危险，还是回火星吧	正面	正面
没意思没意思	负面	负面
但凡是有沈、马二人的电影，好坏不问可知！个人意见！	负面	正面
一般般，没有想象中的好看。	负面	负面
一个非常有意思的软科幻喜剧爱情电影。  在月球上我只想三件事。想活着，想见你，想活着见你。这里的爱情，不是小情小爱的你侬我侬，而是并肩同行，是成全自我之中的互相欣赏。  如果《流浪地球》是介于绝望与希望之间的末日史诗，那《独行月球》就是流沙漫行之下记载爱意与希望的山水长卷。  愿希望绵绵不绝，爱意源源不断。	正面	正面
有笑点，有泪点，总体是比较正能量的，灾后重建，重试信心很重要，相互支持很重要，让人依靠很重要	正面	正面
值得 一看，剧情前面比较欢乐	正面	正面
值得一看，含腾量100%	正面	正面
腾叔叔真的很好笑，自带笑点	正面	正面
适合小孩去观看	正面	正面
不错不错搞笑	正面	正面
开头幽默搞笑挺好，笑点密集，后面有点尴尬。	负面	正面
还可以，凑合吧。	正面	正面
好看，可以二刷	正面	正面
嗯哦哦弄哦哦	正面	正面
还好吧，没想象的感觉好	正面	正面
很有深度的电影，不是简单的快乐喜剧	正面	正面
沈腾的电影基本上不会让人失望，扣这一分是因为这部电影让我笑的同时还让我有点想哭了	正面	正面
比较不错的片子，但是比我心里期待的沈腾差了点	负面	正面
挺不错的还行	正面	正面
剧情可以算上流，但不算最好	正面	正面
