评分	评论
0	唉，历史以来最难看的电影之一。票还贵死，看了一半想走。。很喜欢沈腾，喜欢夏洛特烦恼。但是这种电影还是算了。想搞笑很尴尬，想煽情又感觉不行！！！后悔死了。真的应该手机上看看就可以！！！
1	值得二刷
1	去看！  有充数的桥段，但瑕不掩瑜，值回票价！
1	不错👌的人
1	还不错很搞笑
0	没看，美团不退钱，垃圾
1	给我哭的不行
1	不错不错，看的激情澎湃的
1	刚子太有震慑力啦
1	太好看了，又好笑，又把我感动哭了
1	一般吧，强行搞笑
1	太好看了，含腾量极高。 搞笑与感动贯穿了整部片。 成精的袋鼠🦘 你值得拥有。
1	含腾量极高 演技真的很好 笑点也很多 最后也很感人
1	很感人，很值得看。
1	好看，很走心
1	搞笑中带有感动细节，题材不错
0	一般般 没有什么惊喜
1	来看吧也可以的不错的赶紧下单吧
1	含腾量巨高的影片，是近期来看的最棒的一部电影，喜剧的手法很妙，每个笑点都能令人get到，最后也会被神马之间的情感打动；  电影中每个BGM都十分恰当，有搞笑也有感动，演员配合，音乐情绪都很到位；  里面袋鼠的形象也很深入人心，期待与麻花团队的下次见面
0	太尬了这电影，难看
0	不好看，不喜欢最后强行感动
1	蛮好看笑点高
0	不好看，不建议去看
1	好像还是八月份看的，还是沈腾玛丽的传统搞笑风格，挺好的。
1	明明就很好看啊！
1	可以去看看，挺不错的
1	剧情非常好，值得一看
1	有笑有泪好看
1	这就是沈腾的代表性作品！
1	超赞，刚子我的最爱，沈腾马丽演技超赞，反正值得去看，对了还有你们爱的黄子韬也在虽然演了个油腻大叔！
0	真的 笑不出来 哭不出来。。
1	剧情很赞，奥利给
1	挺搞笑的  非常不错
1	说难看的你的良心不会痛吗！！！值得一看的电影，男女主人公结局不落俗套，剧情反转有理有据，不强行加入主角光环！！！！就凭这几点就很出彩了！！！！演员演技更是毋庸置疑～ 那些说难看的，要不就是自己特想去当导演编剧，让剧情按他自己意愿发展！！！要不就是水军恶意差评！！！！！正常观众绝对不会说难看的！！！！排除部分观众对麻花不够了解有部分笑点自己get不到～再说一遍！！正常观众绝对不会说难看的！！！！
1	好看，沈腾太搞笑了哈哈哈
1	蛮有趣的一部爆米花电影
1	距离上次沈马组合已经过了很长时间了，虽然这部片子她俩的时长也不是很长，但是也是很满足了。金刚鼠-刚子真的好好玩，甚至让我觉得有亿点点可爱。含腾量蛮高的，笑点也很多。开心麻花出品的电影很少有高开低走的部分，最后结局升华，一开始还没看出来是be，通过影子才观察出来的，虽然是be，但是我竟然觉得毫无挑剔。因为它符合常理，比较现实。很喜欢很喜欢，希望沈腾，马丽以后可以多演一些电影！！！
1	坐在电影院 看他叫马蓝星的名字 最后唱她最爱的歌 让她带他回家。 马蓝星登月流泪的时候 我似乎有一点释怀 于现实 于独月 他就是那样的人 我会死 他会死 但死就死 而这样的他 她也全然明白的 我喜欢二老作品最大的原因就是 那些眼泪 回想很多次 都是我心甘情愿为之感动而流的 沈马组合就是最牛的 推荐大家观看
1	电影非常好看，特效剧情都不错，但是主角爱情BE了不开心扣半星😭本来期望在电影里圆梦神马组合HE的
1	值得观看哦，很好
1	笑点还是挺多的。宣传个人英雄的情节，虽然比较矫情，但还是哭了。但是，很不爽的就是这种，上分钟还笑着，下分钟又想哭，这让人很难受，就像吃甜中带咸的东西，真的很不爽
1	个人觉得非常满意非常好！很搞笑！
1	😂 笑点  😭 哭点 很好看，有笑点，有一段招泪点的
1	不落俗套，笑点密集，泪点不俗
1	太好看，值得购买
1	看得都快睡着啦
1	非常好 制作，台词，剧情 都不错！
1	很好看值得推荐！
1	不错看。
1	还行吧  演员比较搞笑
1	怎么说么，当做喜剧片去看的，一开始也觉得一般，但越到后面，越是精彩。一个故事越嚼越有味。电影所传达的希望，坚持让人泪目。而电影的主角独孤月，一个上海交大毕业的维修工，感受到了知识的力量，如果年轻30岁，我想我一定立志学习航空航天。慢慢去感受细节，值的一看。
1	感动，不是强行的大团圆结局，也挺好的，但是由于中国人朴素的价值观，妈妈和我还是希望独孤月可以活下来π_π
1	一般吧，没有太多笑点
0	不知道怎么说。梗比较老 不算好笑。英雄牺牲还是能戳到我个人。
1	明明就很好，难道都想看无脑笑嘻嘻片吗，还有就是沈腾那个零票是真替他不值
1	喜欢看沈腾和马丽演的，好看滑稽幽默搞笑
1	电影内容不错，沈腾演的好🙃
1	看的我又哭又笑的
1	不错，笑点泪点都很自然，沈腾的演技很好，袋鼠的特效也很真。画面很美，月球和宇宙的景象很震撼。总之是不错的电影。
1	不错。和妹妹一起看的
1	剧情还行吧 感觉没有期待中好看
1	各方面都还行就
1	还不错，孩子们喜欢
1	还行吧，我也不知道那么高的评分怎么来了，我个人觉得笑点有点低！
1	很好特别好看
1	独行月球真的超级不错啊！！！又搞笑又能赚足人们的眼泪，总体来说真的是十分不错的一部搞笑电影了，沈腾和马丽的演技更是再一次将观众们折服，看之前还有些担心，会不会是一部烂片，看之后真的感觉值了，另外袋鼠刚子真的超级可爱啊！！！！
1	好看好看有哭有笑
1	治愈不开心哦
1	非常好看，跟我9岁的弟弟一块去看的，有笑点也有泪点，最后我弟弟都看哭了，推荐大家看
1	满分 沈马yyds
1	还好吧，感觉还行
1	刚子挺好，剧情也不错，
0	高开低走，后期模块化
1	很不错，可以一看
1	不错非常搞笑
1	二刷了，还是很好看。
1	搞笑又感人 总的来说还不错
1	挺好看的，，沈腾马丽
0	太勉强了，笑点极其尴尬
1	蛮搞笑的
1	今年必看粉搞笑电影
1	特效好，演技还行吧。剧情翻转有点突然，还是有点泪点
1	剧情非常好看
1	超级好看太好看了
1	喜欢沈腾的可以看看，刚子很出镜
1	总体来讲还是好看的，还不错，终于没有电影荒了
1	太多煽情，没有明日好看
1	u发货后都很简单记得记得就减肥减肥
0	和家人一起去的，赞，挺不错的
0	看完很无语的一部电影，没啥可看的，大家刷刷抖音得了
1	好看，爱看-
1	很不错，笑点很多，值得
0	真的是看过的开心麻花的最差的电影～太失望了
1	很欢乐，剧情也很好，值得观赏！
1	值得一看，影片很搞笑，
1	前面搞笑，笑出泪了，后面太悲了，哭出泪了。
1	好看 值得推荐 激励人心不失幽默 建议带孩子去看看，涨知识
1	演得挺有假想感的，沈腾月球走路，很有月球感。这部电影的道具师很厉害，月球基地和防空洞等等，造景近乎逼真。
1	挺好看的，强推
0	一般般，基本没有笑点。。
0	剧情一般，仅仅只是为了逗乐观众。
1	很喜欢！依旧那么好！不负期待！他俩太甜了吧～真的是磕到了！！
1	真的很好看，好笑又好哭
0	还没看到一半…直接走人了……无厘头不是谁都能拍的
1	灯亮起的那一刻，我感受到了人性的光辉
1	好好看的，电影前面很搞笑，后面很感人
1	好看，支持沈腾 马丽
1	挺有意思的
1	开心麻花这次的电影题材还是比较特别的。笑点泪点不断无缝转换。旁边的小姐姐被逗得发出“鹅鹅鹅”的笑声，本人只是觉得还可以，笑点可以再“有心思”一点。里面最打动我的还是男主和大袋鼠的“革命友谊”，大袋鼠的一举一动都很像我家里的那只小猫，很可爱。
1	带着眼泪出来的，有哭有笑，很感动。这一部电影足以让人原谅这两年开心麻花的烂片，永远爱沈叔叔！
1	科技感十足，剧情很棒
1	好看值得观看，演技好
1	挺好看的，配乐也给力！
1	剧情有点短！
1	很好看值回票价
1	沈叔叔的剧就没让我失望过，赞👍🏻
1	好看，我特别喜欢
0	很无聊的电影
0	不是沈腾的真实水平
1	不知道说啥了
1	不错好看的电影
1	挺好的，女儿哭的热泪盈眶，剧情过于简单总感觉，整体还好吧～喜欢沈腾马丽
1	有梗有包袱，还行挺不错挺好看，古校长的电影也是很好看的我看了两部，科幻电影能扛旗的还得是老一辈的艺人🐮
0	。。。。难看
1	没有以前的喜剧感觉了 如果是喜剧应该不会牺牲，不喜欢牺牲的结尾 还是怀念泰囧那个时候的喜剧
1	好久没去电影院看电影了，上次看的是这个杀手不太冷静。这部独行月球，超级好看，开心麻花的电影真的不会让人失望！！在好笑的同时也收获了很多感动，真的很棒！我太喜欢了。
1	有沈腾=满星
1	非常好，非常推荐
1	已看独行月球
1	两年多快三年了，期间也有爆款，今年是终于有点中国电影回来了的感觉 Ps.看过原著的并不影响观影，看就完了
1	非常好看，有几个地方特别特别的惊艳，特效也做得特别好，搞笑中还带着感人的成分，反正就是特别好看
1	好看，不剧透
0	确实很差，毫无意义，失望。
1	很搞笑很喜欢 腾哥的每一部电影都很爱 必须支持  推荐🌟🌟🌟🌟🌟
1	沈腾马丽联手给人以无限的想象空间! 力挺开心麻花!
1	还可以，没有宣传的那么惊艳！
1	非常的好看啊
1	太惊艳了 ，从没想过沈腾马丽会拍出一部如此科幻 ， 又如此浪漫的电影 。  除了笑点非常多之外 ， 还有意料之中的热血和感动 。 主角独孤月试图从月球返回地球的过程 ， 紧张 、艰辛 、 高潮迭起 ， 很多高燃时刻 ， 让人深切地感受到 人类的勇气和坚毅就是生命的赞歌 ， 不只是地球上看直播的民众 ， 荧幕前的我也受到了鼓舞 。  特效逼真 ， 场面宏大 ， 视觉效果很棒 ，让人身临其境 ， 演员的表演都可圈可点 ， 尤其是沈腾的演技 ， 很有层次 ， 感染力极强 ， 贡献了全片大部分的笑点和泪点 。 ＃藤井树观影团＃
1	非常好笑，沈腾绝了
1	很好笑，人多了一起感觉更欢乐，小孩也笑得很开心
1	笑点密集，不错
1	剧情不错很有喜剧的电影
1	还行一般般般
0	有什么好看到点呢    有什么好笑的故事呢     跟网络神剧有什么差距    有点名气了  就乱拍
1	剧情挺好就是结局没有特别好
1	很不错，推荐，值得看
1	搞笑死啦，很好看
0	很尴尬的笑点，无厘头，适合十来岁孩子看看
0	真的不好看，一点不好看！！9.5分是骗人的，水军太多！！
1	当作是小品剧看就非常不错
1	挺好的👌🏻
1	这个电影院啊，环境差点儿，太老了
1	还信，我记得可以。
1	结局意料之外，彩蛋是中国人的浪漫，很好
1	还行吧。还可以吧。
1	有搞笑，但也很感动
1	搞笑不会失望
1	挺好看，基本没尿点
1	好看，值得二刷
1	非常好看 又感动又好笑
1	特别的搞笑。
1	很好，非常非常好看
1	带娃看，喜剧嘛，图一乐
1	不错哦嘻嘻嘻
1	好搞笑啊非常开心的体验
1	可以看，不是最好
1	这部片子争议这么大吗？我觉得超好看，我看过的沈腾演的最好的一部片子了。今年看的最好看的一部电影。
1	俩人的表演可谓是精彩绝伦，喜剧中的科幻，本质还是喜剧片。都说悲剧是喜剧的内核，从独孤月被丢下的那一刻起就想哭。科幻片的基调永远是沉重和孤独，但人类总是在黑暗中不停追寻着光明。  以星环为戒，流星是我送你最璀璨的礼物。  独行月球冲啊！！！！！！！！！！
1	值得推荐，搞笑中感人
1	国产剧有进步
1	非常好看～搞笑且感人
1	冲着沈叔叔去的 中规中矩
1	好看好笑，还想再看一次。
1	非常好看的可以观看
1	真的很好看，不负期待
1	还行还行六个字
0	太烂了，看了半小时真的看不下去。猥琐低俗
1	看着开心最重要
0	总体来说还行，不过我们看一个喜剧团队看久了我们更期待有如以往的搞笑来丰富剧情，喜剧电影看久了在心中对于一个团队的喜剧表演程度的要求也提高了
1	还不错的✌️
1	轻喜剧，笑点很有包袱，中间和后半段有泪点，很感动，建议观看
1	很有意思的剧情
1	一般般，太拖沓
1	搞笑，演技好，特别刚子
1	从最开始的搞笑到最后感动落泪，不像以往的电影结局都是he   果然be是最让人难以忘怀的😭
1	❤️❤️ 全程在流泪！ 笑的我流泪，最后感动的我流泪。 必须去看，去看！
1	剧情还行，梗不咋地
1	有搞笑的成份，也有感人的成份，但是毕竟是商业片，比较没有那么贴近现实，个人觉得还可以更完美
1	很少黑五星，但是这个影片是真的顶，作为一个喜剧，少有的做到了笑点不尬，而且全员演技很到位，画面做的也很美，笑的很大声，最后也会热泪盈眶，在目前这个什么人都能做喜剧得市场，这样一部影片无论从体验，画面，立意上来看都是少有的高质量影片，如果有时间的话真的值得一看
1	没有预期的搞笑
1	开心麻花的电影我一直都很看好，欢笑中带着感动，独孤月说他平凡，可是他又有很高的技术，说他不平凡，可是他是＂中间人＂，虽然中间有些剧情我都猜到了，但是看了之后还是会感动，最后他牺牲了自己拯救了地球，拯救了他爱的她以及他们，他很伟大，其实我们生活中有很多这样平凡的人，因为有了他们，我们的国家才会这么富强，感谢你们，也感谢祖国。
1	换是蛮搞笑的
1	适合带小孩子去
1	很好看，很搞笑
1	很不错哦！！！
1	值得看，拍的很好的一部电影
0	1分不能在多了
1	电影买了却没有去看，只为了和异地的女友多待一上午，她好像有点扛不住异地恋了，就像我没看也给电影打满分一样，希望我和她会有一个完美的结局吧
0	作为喜剧，笑点低于预期。
0	剧情垃圾，含腾量高但是很差，一点也不搞笑且很尬
1	还好吧，比较不错
0	感觉不咋好看，奔着沈腾和马丽去的，看完挺失望的。剧情很俗气，看的人想睡觉，搞笑只有前面一点，后面就强行煽情，而且煽情的点还很低级和幼稚，像是给小孩子看的那种，可以说是沈腾马丽最差的一部影片了。
1	剧情搞笑又发人深省，寓意深刻
0	不好看，失望！
1	满意 好看的！
1	很好笑 还很暖心 网上吐槽都是乱说 明明很好看啊 幸好看了不然就错过了
1	好看好看，座椅也软
1	搞笑，非常赞
1	超级棒！！含腾量百分百！
1	太好看   宇航服国内做的最好的👍🏾    我不吹牛  特效也好   笑点很多   笑到爬不起来😂   沈腾马丽演技很棒   10分推荐
1	好着呢！！！
1	很好看，就是有点困
1	好看的，值得推荐
0	一般  剧情不太行
1	才看完，虽然喜剧，但结局有点流泪！地球，月球，真不知怎么拍的厉害[赞][赞][赞][赞]
1	搞笑又有点温情
1	还不错，大家可以看一下
1	电影很不错，很好看
1	不错的影片！
1	还可以，整体来说又喜又悲，真值得一看
1	很棒刚子，啊
1	画面很好，剧情也棒，含腾量极高，推荐各位观看 🌟 推荐
0	很一般，吹过头了
1	今年少有的佳作，我也是第一次打了满分作品，欢笑中夹杂着泪光，含腾量杠杠的。
1	挺好看的，剧情也不错，有笑点也有泪点
1	还行 后面挺感人
1	太好看了，很感动
0	不好看，第一次看电影看到睡着，无聊
1	全场都在笑，
1	去去去收拾收拾
1	让我输六个字
1	我曷一娥人人
1	前面有笑点 后面主要情绪煽动 整体立意不错
1	非常的不错，剧情好
1	很不错，既有搞笑又有科幻
1	前面剧情可以，后面有些像流浪地球的
1	很好看，算是一种对心灵的安慰，透过一个人看到了社会，人性的善良！
0	差点没了个女朋友 差评
1	影片八千里路云和月！
1	蛮好好玩的，
0	工作人员态度恶劣，差评！ 差评！ 自己去细细品！ 电影没问题，好评！
1	挺好的，值得看！
1	没啥好包袱了。。有笑点，但是感觉没那么好了呢。。。
1	好👌！好👌
1	我个人觉得有意思
1	近日一些浪漫的小事🍐🎼
1	1安的，1111
1	值得观看，有笑有泪，有新意，永远可以相信沈马组合。
0	实在是不好看
1	感人又搞笑，还是不错的
1	不错，沈马组合！
1	笑点不如以往开心麻花的电影，但是很感人，总体来说不错！ 被男主独孤月的痴情和为国为民的精神感动了！
1	还行吧，目前没啥好电影
1	搞笑又感人
1	很搞笑，很不错的一部电影，果然是含腾量百分之百
0	剧情尴尬，特效来凑，阿里投资，未必精品
0	真的很一般。。。
1	还行吧，加油
1	很好看，挺喜欢的。
1	非常有意思，每次都有惊喜
1	很开心的一部电影，虽然结尾难过些，但是很能激励人。
1	感觉也就是一般
1	我们齐齐哈尔人拯救地球，必须支持观看一下，励志的电影
1	好笑到爆 含腾量高
1	搞笑的雅痞！
1	剧情太好了。演 的好，剧情好，画面也震撼 哈哈 哈哈 哈哈哈实在是太棒了
1	搞笑 🌟 推荐
0	垃圾片，真不知道这分怎么来的
1	好看，很nice
1	太好笑了真的
1	好嘎嘎好。贼好
1	尊的不错我爱你刚子
